plant_id,scientific_name,common_name,display_name,plant_family,image_url,image_source,native_states,growth_habit,plant_type,zone_min,zone_max,maintenance,soil_description,soil_moisture,soil_ph,supports_full_sun,supports_part_shade,supports_shade,supports_low_water,supports_medium_water,supports_high_water,bloom_color,bloom_jan,bloom_feb,bloom_mar,bloom_apr,bloom_may,bloom_jun,bloom_jul,bloom_aug,bloom_sep,bloom_oct,bloom_nov,bloom_dec,supports_bee_observed,supports_butterfly_observed,supports_hummingbird_observed,supports_moth_observed,supports_fly_observed,supports_beetle_observed,supports_wasp_observed,has_ladybird_data,has_pollinator_data
PLANT-00954,Vernonia arkansana,Arkansas Ironweed,Arkansas Ironweed,Asteraceae,https://inaturalist-open-data.s3.amazonaws.com/photos/307605101/medium.jpg,iNaturalist,Arkansas | Iowa | Kansas | Missouri | Oklahoma,Herb,Herbaceous perennial,5,8,Low,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Pink , Purple",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00955,Vernonia baldwinii,"Western Ironweed, Baldwin's Ironweed, Ironweed","Western Ironweed, Baldwin's Ironweed, Ironweed",Asteraceae,https://inaturalist-open-data.s3.amazonaws.com/photos/151301/medium.jpg,iNaturalist,Arkansas | Colorado | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Michigan | Minnesota | Missouri | Nebraska | Oklahoma | South Dakota | Texas,Herb,Herbaceous perennial,5,9,Low,"Rocky or sandy soils. Clay, Clay Loam, Medium Loam, Sandy Loam, Sandy, Limestone-based, Caliche type",Moist,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Pink , Purple",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00956,Vernonia fasciculata,"Prairie Ironweed, Common Ironweed","Prairie Ironweed, Common Ironweed",Asteraceae,https://inaturalist-open-data.s3.amazonaws.com/photos/4572546/medium.jpg,iNaturalist,Arkansas | Colorado | Illinois | Indiana | Iowa | Kansas | Kentucky | Massachusetts | Minnesota | Mississippi | Missouri | Montana | Nebraska | New York | North Dakota | Ohio | Oklahoma | South Dakota | Wisconsin,Herb,Herbaceous perennial,4,9,Low,"Fertile, moist to wet soils.","Moist , Wet",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Purple,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00957,Vernonia gigantea,"Giant Ironweed, Tall Ironweed","Giant Ironweed, Tall Ironweed",Asteraceae,https://inaturalist-open-data.s3.amazonaws.com/photos/228207800/medium.jpg,iNaturalist,Alabama | Arkansas | Delaware | Florida | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maryland | Michigan | Mississippi | Missouri | Nebraska | New Mexico | New York | North Carolina | Ohio | Oklahoma | Pennsylvania | South Carolina | Tennessee | Texas | Virginia | West Virginia,Herb,Herbaceous perennial,5,8,Low,,Moist,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Purple,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00958,Vernonia missurica,Missouri Ironweed,Missouri Ironweed,Asteraceae,https://inaturalist-open-data.s3.amazonaws.com/photos/9211895/medium.jpg,iNaturalist,Alabama | Arkansas | Florida | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Massachusetts | Michigan | Mississippi | Missouri | Nebraska | New Mexico | Ohio | Oklahoma | Tennessee | Texas,Herb,Herbaceous perennial,4,9,Low,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Purple,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00959,Vernonia noveboracensis,New York Ironweed,New York Ironweed,Asteraceae,https://inaturalist-open-data.s3.amazonaws.com/photos/92055781/medium.jpeg,iNaturalist,Alabama | Connecticut | Delaware | Florida | Georgia | Maryland | Massachusetts | New Jersey | New York | North Carolina | Pennsylvania | Rhode Island | South Carolina | Tennessee | Virginia | West Virginia,Herb,Herbaceous perennial,5,9,Low,"Is found in moist soils in the wild, but will flourish in regular or dry soil. Tolerates clay and neutral to acidic conditions.",Moist,Acidic (pH<6.8),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Purple,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00960,Veronicastrum virginicum,Culver's Root,Culver's Root,Scrophulariaceae,https://inaturalist-open-data.s3.amazonaws.com/photos/2173863/medium.jpg,iNaturalist,Alabama | Arkansas | Connecticut | Delaware | Florida | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Nebraska | New Jersey | New York | North Carolina | North Dakota | Ohio | Oklahoma | Pennsylvania | South Carolina | South Dakota | Tennessee | Texas | Vermont | Virginia | West Virginia | Wisconsin,Herb,Herbaceous perennial,3,8,Low,"Moist, rich soils.",Moist,Acidic (pH<6.8),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"White , Pink",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00961,Viburnum acerifolium,"Mapleleaf Viburnum, Maple-leaf Viburnum, Maple-leaf Arrowwood, Arrowwood","Mapleleaf Viburnum, Maple-leaf Viburnum, Maple-leaf Arrowwood, Arrowwood",Caprifoliaceae,https://inaturalist-open-data.s3.amazonaws.com/photos/11426771/medium.jpg,iNaturalist,Alabama | Arkansas | Connecticut | Delaware | Florida | Georgia | Illinois | Indiana | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Mississippi | New Hampshire | New Jersey | New York | North Carolina | Ohio | Pennsylvania | Rhode Island | South Carolina | Tennessee | Texas | Vermont | Virginia | West Virginia | Wisconsin,Shrub,Deciduous shrub,3,8,Low,"Dry, rocky soils. Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Acid-based","Dry , Moist",Acidic (pH<6.8),TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,White,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00962,Viburnum cassinoides,witherod viburnum,witherod viburnum,,https://inaturalist-open-data.s3.amazonaws.com/photos/78066376/medium.jpeg,iNaturalist,Alabama | Connecticut | Delaware | Georgia | Illinois | Indiana | Kentucky | Maine | Maryland | Massachusetts | Michigan | New Hampshire | New Jersey | New York | North Carolina | Ohio | Pennsylvania | Rhode Island | South Carolina | Tennessee | Vermont | Virginia | West Virginia | Wisconsin,,Deciduous shrub,3,8,Low,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PLANT-00963,Viburnum dentatum,Southern Arrowwood,Southern Arrowwood,Caprifoliaceae,https://inaturalist-open-data.s3.amazonaws.com/photos/197714531/medium.jpg,iNaturalist,Alabama | Arkansas | Connecticut | Delaware | Florida | Georgia | Illinois | Indiana | Iowa | Kentucky | Louisiana | Maine | Maryland | Mississippi | Missouri | New Jersey | North Carolina | Ohio | Pennsylvania | South Carolina | Tennessee | Texas | Virginia | West Virginia,Shrub,Deciduous shrub,2,8,Low,"Dry to wet, acid soils and sands.",Moist,Acidic (pH<6.8),TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,White,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
